3260	-0.00148
3260.5	-0.00203
3261	-0.00261
3261.5	-0.00302
3262	-0.00303
3262.5	-0.00268
3263	-0.00224
3263.5	-0.00203
3264	-0.00214
3264.5	-0.00243
3265	-0.00262
3265.5	-0.00256
3266	-0.00226
3266.5	-0.00189
3267	-0.00169
3267.5	-0.0018
3268	-0.00211
3268.5	-0.00242
3269	-0.0027
3269.5	-0.00313
3270	-0.00374
3270.5	-0.00433
3271	-0.00466
3271.5	-0.00464
3272	-0.0043
3272.5	-0.00375
3273	-0.00305
3273.5	-0.00216
3274	-0.00112
3274.5	-2.3436E-4
3275	1.8724E-4
3275.5	2.04097E-4
3276	2.00331E-4
3276.5	4.14192E-4
3277	7.32827E-4
3277.5	9.80493E-4
3278	0.00122
3278.5	0.00167
3279	0.0024
3279.5	0.00317
3280	0.00352
3280.5	0.00316
3281	0.0021
3281.5	6.41378E-4
3282	-8.71744E-4
3282.5	-0.00221
3283	-0.00326
3283.5	-0.00396
3284	-0.00426
3284.5	-0.00427
3285	-0.00425
3285.5	-0.00437
3286	-0.00453
3286.5	-0.00461
3287	-0.00467
3287.5	-0.00499
3288	-0.00567
3288.5	-0.00656
3289	-0.00739
3289.5	-0.00793
3290	-0.00801
3290.5	-0.00758
3291	-0.00679
3291.5	-0.00588
3292	-0.00506
3292.5	-0.00439
3293	-0.00395
3293.5	-0.00377
3294	-0.00373
3294.5	-0.00367
3295	-0.00354
3295.5	-0.00344
3296	-0.00353
3296.5	-0.00388
3297	-0.00434
3297.5	-0.00471
3298	-0.00487
3298.5	-0.00488
3299	-0.00487
3299.5	-0.00495
3300	-0.00512
3300.5	-0.00527
3301	-0.00529
3301.5	-0.00505
3302	-0.00455
3302.5	-0.00399
3303	-0.00369
3303.5	-0.00382
3304	-0.00414
3304.5	-0.00426
3305	-0.00407
3305.5	-0.00379
3306	-0.00362
3306.5	-0.0034
3307	-0.00288
3307.5	-0.00218
3308	-0.00169
3308.5	-0.0017
3309	-0.00215
3309.5	-0.00273
3310	-0.00321
3310.5	-0.00353
3311	-0.00379
3311.5	-0.00407
3312	-0.00436
3312.5	-0.00454
3313	-0.00446
3313.5	-0.00408
3314	-0.00344
3314.5	-0.00276
3315	-0.00235
3315.5	-0.0024
3316	-0.0028
3316.5	-0.00317
3317	-0.00319
3317.5	-0.00274
3318	-0.00204
3318.5	-0.0014
3319	-0.00106
3319.5	-0.00108
3320	-0.00138
3320.5	-0.00183
3321	-0.00231
3321.5	-0.00273
3322	-0.00313
3322.5	-0.0035
3323	-0.00378
3323.5	-0.00393
3324	-0.00404
3324.5	-0.00421
3325	-0.00449
3325.5	-0.00483
3326	-0.0052
3326.5	-0.00553
3327	-0.00569
3327.5	-0.00567
3328	-0.00561
3328.5	-0.00564
3329	-0.00574
3329.5	-0.00579
3330	-0.0057
3330.5	-0.00547
3331	-0.00518
3331.5	-0.00484
3332	-0.00437
3332.5	-0.00381
3333	-0.00334
3333.5	-0.00315
3334	-0.00331
3334.5	-0.00373
3335	-0.00428
3335.5	-0.00475
3336	-0.00486
3336.5	-0.00445
3337	-0.00363
3337.5	-0.00264
3338	-0.00181
3338.5	-0.00142
3339	-0.00153
3339.5	-0.00197
3340	-0.00261
3340.5	-0.00342
3341	-0.00429
3341.5	-0.00498
3342	-0.00531
3342.5	-0.00525
3343	-0.00486
3343.5	-0.00427
3344	-0.00366
3344.5	-0.00327
3345	-0.00318
3345.5	-0.00327
3346	-0.00339
3346.5	-0.00346
3347	-0.00346
3347.5	-0.00339
3348	-0.00328
3348.5	-0.00323
3349	-0.00328
3349.5	-0.00331
3350	-0.00327
3350.5	-0.00321
